good,prop_data,run,n_checklists,n_sightings,mse,auc,threshold,kappa,sensitivity,specificity,n_checklists_log,n_sightings_log
FALSE,0.8,10,48554,2231,0.09717,0.74108,0.08,0.22576,0.42797,0.85413,4.6862250139838615,3.348499570283838
TRUE,0.9,10,8500,919,0.10085,0.80307,0.01,0.34651,0.5,0.89519,3.929418925714293,2.9633155113861114
FALSE,0.9,10,54623,2553,0.09754,0.73638,0.07,0.2213,0.44492,0.84225,4.737375548745249,3.40705081480425
TRUE,1,10,9444,1028,0.10316,0.79567,0.03,0.34117,0.43644,0.91734,3.9751559784066894,3.011993114659257
FALSE,1,10,60692,2807,0.09794,0.73679,0.06,0.22286,0.47458,0.8282,4.78313144915058,3.448242412634439
TRUE,0.1,11,944,106,0.11938,0.74764,0.01,0.21579,0.3178,0.90438,2.974971994298069,2.0253058652647704
FALSE,0.1,11,6069,274,0.10618,0.68748,0.33,0.15811,0.16102,0.96056,3.7831171374904673,2.437750562820388
TRUE,0.2,11,1889,201,0.11277,0.74667,0.02,0.24215,0.27966,0.93787,3.2762319579218335,2.303196057420489
FALSE,0.2,11,12138,560,0.10082,0.69704,0.09,0.18327,0.35593,0.86224,4.084147133154448,2.7481880270062002
TRUE,0.30000000000000004,11,2833,308,0.11496,0.74496,0.02,0.24325,0.27966,0.93841,3.452246574520437,2.4885507165004443
FALSE,0.30000000000000004,11,18208,856,0.10148,0.72859,0.06,0.20833,0.4661,0.82118,4.260262244714977,2.932473764677153
TRUE,0.4,11,3778,380,0.11058,0.77231,0.01,0.28539,0.38136,0.91248,3.577261953585815,2.57978359661681
FALSE,0.4,11,24277,1114,0.10074,0.70817,0.06,0.19851,0.41949,0.83847,4.38519501831988,3.04688519083771
TRUE,0.5,11,4722,512,0.10652,0.78375,0.03,0.29865,0.39831,0.91194,3.674125982742708,2.709269960975831
FALSE,0.5,11,30346,1412,0.09945,0.71439,0.14,0.19454,0.31356,0.89357,4.482101453486599,3.149834696715785
TRUE,0.6,11,5666,617,0.10476,0.79503,0.17,0.31353,0.34746,0.94057,3.7532765701844184,2.7902851640332416
FALSE,0.6,11,36415,1664,0.10019,0.72781,0.06,0.2089,0.46186,0.82388,4.561280314290289,3.2211533219547053
TRUE,0.7000000000000001,11,6611,714,0.10578,0.78632,0.01,0.30008,0.44915,0.89087,3.8202671571609645,2.8536982117761744
FALSE,0.7000000000000001,11,42484,1970,0.09798,0.73751,0.05,0.22975,0.5,0.82064,4.6282254001672145,3.294466226161593
TRUE,0.8,11,7555,842,0.10413,0.79357,0.1,0.32889,0.38136,0.93355,3.878234468675044,2.9253120914996495
